iter	Passed	Remaining
0	197	197512
1	239	119552
2	271	90271
3	312	77777
4	350	69660
5	385	63816
6	417	59254
7	454	56310
8	501	55187
9	545	54051
10	580	52207
11	612	50460
12	643	48889
13	680	47917
14	714	46911
15	752	46267
16	796	46059
17	856	46707
18	911	47050
19	961	47095
20	994	46341
21	1040	46267
22	1079	45875
23	1114	45335
24	1148	44810
25	1185	44410
26	1216	43840
27	1232	42783
28	1265	42368
29	1300	42063
30	1344	42020
31	1387	41980
32	1423	41717
33	1458	41431
34	1471	40575
35	1502	40241
36	1536	40002
37	1569	39730
38	1609	39656
39	1651	39634
40	1686	39447
41	1714	39112
42	1763	39249
43	1803	39189
44	1838	39024
45	1874	38865
46	1907	38680
47	1947	38629
48	2009	39001
49	2050	38962
50	2082	38745
51	2119	38646
52	2161	38620
53	2201	38561
54	2250	38661
55	2287	38561
56	2337	38678
57	2957	48035
58	3047	48604
59	3088	48382
60	3121	48046
61	3149	47651
62	3180	47310
63	3214	47004
64	3244	46669
65	3277	46387
66	3312	46132
67	3357	46013
68	3393	45793
69	3425	45505
70	3445	45085
71	3478	44831
72	3515	44640
73	3551	44444
74	3583	44198
75	3597	43736
76	3634	43561
77	3665	43332
78	3703	43178
79	3748	43110
80	3783	42924
81	3820	42772
82	3851	42552
83	3884	42360
84	3914	42140
85	3943	41908
86	3971	41676
87	4000	41457
88	4034	41301
89	4067	41126
90	4114	41099
91	4180	41259
92	4234	41298
93	4330	41739
94	4378	41715
95	4416	41586
96	4469	41607
97	4487	41300
98	4526	41199
99	4581	41231
100	4619	41119
101	4652	40963
102	4684	40796
103	4692	40431
104	4704	40103
105	4725	39854
106	4751	39652
107	4785	39521
108	4800	39243
109	4842	39180
110	4881	39094
111	4923	39032
112	4943	38801
113	4992	38800
114	5039	38783
115	5095	38827
116	5600	42263
117	5628	42070
118	6068	44924
119	7045	51669
120	7731	56163
121	8008	57631
122	9131	65105
123	10022	70803
124	11245	78719
125	11914	82645
126	12349	84890
127	12444	84777
128	12552	84755
129	12596	84300
130	12649	83910
131	12689	83440
132	12708	82843
133	12719	82204
134	12750	81698
135	12782	81203
136	12789	80564
137	12795	79927
138	12826	79452
139	12858	78988
140	12907	78634
141	12950	78249
142	12967	77716
143	13001	77286
144	13039	76885
145	13072	76465
146	13108	76062
147	13147	75686
148	13198	75384
149	13216	74896
150	13686	76955
151	14675	81875
152	14778	81815
153	15008	82449
154	15083	82226
155	15128	81850
156	15166	81435
157	15200	81003
158	15214	80474
159	15228	79949
160	15263	79539
161	15295	79122
162	15326	78703
163	15356	78278
164	15398	77926
165	15437	77561
166	15470	77164
167	15499	76759
168	15528	76358
169	15559	75967
170	15591	75584
171	15617	75184
172	15649	74808
173	15681	74443
174	15717	74097
175	15741	73697
176	15762	73289
177	15804	72982
178	15838	72644
179	15871	72302
180	15903	71960
181	15932	71607
182	15976	71324
